"","ID","PARAM","Date","Flow","SYM"
"30501","05BB001",1,"1993/05/26 00:00:00.000",79.6,""
"30502","05BB001",1,"1993/05/27 00:00:00.000",80.8,""
"30503","05BB001",1,"1993/05/28 00:00:00.000",82.2,""
"30504","05BB001",1,"1993/05/29 00:00:00.000",87.1,""
"30505","05BB001",1,"1993/05/30 00:00:00.000",94.2,""
"30506","05BB001",1,"1993/05/31 00:00:00.000",86,""
"30507","05BB001",1,"1993/06/01 00:00:00.000",101,""
"30508","05BB001",1,"1993/06/02 00:00:00.000",128,""
"30509","05BB001",1,"1993/06/03 00:00:00.000",113,""
"30510","05BB001",1,"1993/06/04 00:00:00.000",96.7,""
"30511","05BB001",1,"1993/06/05 00:00:00.000",84.7,""
"30512","05BB001",1,"1993/06/06 00:00:00.000",76.6,""
"30513","05BB001",1,"1993/06/07 00:00:00.000",73,""
"30514","05BB001",1,"1993/06/08 00:00:00.000",77,""
"30515","05BB001",1,"1993/06/09 00:00:00.000",86.4,""
"30516","05BB001",1,"1993/06/10 00:00:00.000",78.8,""
"30517","05BB001",1,"1993/06/11 00:00:00.000",70.3,""
"30518","05BB001",1,"1993/06/12 00:00:00.000",67.7,""
"30519","05BB001",1,"1993/06/13 00:00:00.000",66.7,""
"30520","05BB001",1,"1993/06/14 00:00:00.000",64,""
"30521","05BB001",1,"1993/06/15 00:00:00.000",64.2,""
"30522","05BB001",1,"1993/06/16 00:00:00.000",78.6,""
"30523","05BB001",1,"1993/06/17 00:00:00.000",75.5,""
"30524","05BB001",1,"1993/06/18 00:00:00.000",74.6,""
"30525","05BB001",1,"1993/06/19 00:00:00.000",76.5,""
"30526","05BB001",1,"1993/06/20 00:00:00.000",73.1,""
"30527","05BB001",1,"1993/06/21 00:00:00.000",70.5,""
"30528","05BB001",1,"1993/06/22 00:00:00.000",76.9,""
"30529","05BB001",1,"1993/06/23 00:00:00.000",75.5,""
"30530","05BB001",1,"1993/06/24 00:00:00.000",66.3,""
"30531","05BB001",1,"1993/06/25 00:00:00.000",59.5,""
"30532","05BB001",1,"1993/06/26 00:00:00.000",55.3,""
"30533","05BB001",1,"1993/06/27 00:00:00.000",70.3,""
"30534","05BB001",1,"1993/06/28 00:00:00.000",87.3,""
"30535","05BB001",1,"1993/06/29 00:00:00.000",81.7,""
"30536","05BB001",1,"1993/06/30 00:00:00.000",83.9,""
"30537","05BB001",1,"1993/07/01 00:00:00.000",76.2,""
"30538","05BB001",1,"1993/07/02 00:00:00.000",70.2,""
"30539","05BB001",1,"1993/07/03 00:00:00.000",67.7,""
"30540","05BB001",1,"1993/07/04 00:00:00.000",67,""
"30541","05BB001",1,"1993/07/05 00:00:00.000",71.1,""
"30542","05BB001",1,"1993/07/06 00:00:00.000",80.3,""
"30543","05BB001",1,"1993/07/07 00:00:00.000",89.5,""
"30544","05BB001",1,"1993/07/08 00:00:00.000",93.4,""
"30545","05BB001",1,"1993/07/09 00:00:00.000",110,""
"30546","05BB001",1,"1993/07/10 00:00:00.000",102,""
"30547","05BB001",1,"1993/07/11 00:00:00.000",91.7,""
"30548","05BB001",1,"1993/07/12 00:00:00.000",93.5,""
"30549","05BB001",1,"1993/07/13 00:00:00.000",88.8,""
"30550","05BB001",1,"1993/07/14 00:00:00.000",80.7,""
"30551","05BB001",1,"1993/07/15 00:00:00.000",75.9,""
"30552","05BB001",1,"1993/07/16 00:00:00.000",72.2,""
"30553","05BB001",1,"1993/07/17 00:00:00.000",70.8,""
"30554","05BB001",1,"1993/07/18 00:00:00.000",72.9,""
"30555","05BB001",1,"1993/07/19 00:00:00.000",72.5,""
